name,price,district,date_crawl,product_type,time_since_date_crawl,image_link,product_link,page,ram,rom
 Macbook Pro 14inch M1 Pro Gray - Ram 16Gb,26000000,Quận 10,2025-04-29 01:55:17,AMD | 16 GB | 512 GB | SSD | ,7 ngày trước,https://cdn.chotot.com/kJbZXbuGZVJXDqmwvduk3g-RrKYCrVAbdykCLk7Heww/preset:listing/plain/fb03cccc0eda97bd0a7c0fa8ac9f6fbd-2928130263777182689.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/124496561.htm,11,16,512
 Macbook Pro 14inch M1 / 32GB / SSD 1Tb.,28800000,Quận 1,2025-04-29 01:55:21,> 32GB | ,1 tuần trước,https://cdn.chotot.com/QMPmuzhUhXQAnE3T0L2JSuOJuRV-n38dBtauBdr81JI/preset:listing/plain/d64b51886df54eabb731ed2fb15e2564-2927840725331955800.jpg,https://www.chotot.com/mua-ban-laptop-quan-1-tp-ho-chi-minh/124448936.htm,12,32,1024
 Macbook Pro 16” M1 Pro 16/512GB 99% Kèm sạc 140W,26990000,Quận Tân Bình,2025-04-29 01:55:43,Khác | 16 GB | 512 GB | SSD | ,2 tuần trước,https://cdn.chotot.com/QjnU57Kteh5_eaagb46_K4JNPvxLb8j6uOs0TJmQTUY/preset:listing/plain/170ea55c34cc9ab75f4c480e1a274b87-2927386808104521234.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124371298.htm,17,16,512
 Macbook Pro 14inch & 16inch M1 Pro - Full Option,27000000,Quận 10,2025-04-29 01:55:43,Khác | 16 GB | 512 GB | SSD | ,2 tuần trước,https://cdn.chotot.com/6sok0tW9ZS_Flb6rITxbfHU5zPRGlwscJwk9H6omx_M/preset:listing/plain/9cb47fa5f54756b67f27ef312e62b098-2927258324496913727.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/124351243.htm,17,16,512
 🍎|MDM| Macbook Pro 14 M1 16/512gb 99%,22500000,Quận 3,2025-04-29 01:55:47,Khác | 16 GB | 512 GB | SSD | ,1 tháng trước,https://cdn.chotot.com/4QiDOsSeBQHxyuodLf_HGKvs2rwKZjWc36nrmUtezyY/preset:listing/plain/9ce03a7a06820e74e69ea7b659b0dc38-2911484525275373818.jpg,https://www.chotot.com/mua-ban-laptop-quan-3-tp-ho-chi-minh/122033701.htm,18,16,512
" Macbook Pro 14"" M1 Pro 16/512 Grey Fullbox Pin 100",26990000,Quận 10,2025-04-29 01:55:56,Khác | 16 GB | 512 GB | SSD | ,1 tháng trước,https://cdn.chotot.com/JUvp4KDCiPzfkHZAHmKTQ3A-8weZYZiJnrIal632PG4/preset:listing/plain/694df2727fd080e3e52dcbe10ae04604-2924268118096120957.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/123860420.htm,20,16,512
 Macbook Pro 14 inch M1 Pro/16/1Tb Pin 95% Máy 98%,26000000,Quận Bình Thạnh,2025-04-29 01:56:05,Khác | 16 GB | 1 TB | SSD | ,1 tháng trước,https://cdn.chotot.com/gWNO7HwGHILP2xrZpQtFaDWWfzJfecrkAuW1UpWPo5U/preset:listing/plain/4c3a0cc02fc8f42be3eeacdf1a5b2d96-2923951137754829035.jpg,https://www.chotot.com/mua-ban-laptop-quan-binh-thanh-tp-ho-chi-minh/123794478.htm,22,16,1024
 Macbook pro M1 14' gray Ram 16/512GB  (8Cpu-14Gpu),25900000,Quận 12,2025-04-29 01:56:18,Khác | 16 GB | 512 GB | SSD | ,1 tháng trước,https://cdn.chotot.com/_1OPSDuIEj1U3RZP91phnKGmsMY9AeSeG_B5Tk9Rt8I/preset:listing/plain/a3b8f273fd64b3692e7451e8d39a49c5-2923226707774035373.jpg,https://www.chotot.com/mua-ban-laptop-quan-12-tp-ho-chi-minh/123676899.htm,25,16,512
" Macbook Pro 16"" M1 Pro 16/1Tb kèm sạc cáp zin 140W",29490000,Quận Tân Bình,2025-04-29 01:56:18,Khác | 16 GB | 1 TB | SSD | ,3 tuần trước,https://cdn.chotot.com/U5BoscMB_cyX8Ot3vjIKSYKTm5K81_gzEbNv-1eRmpo/preset:listing/plain/f065ee665a7e40e235959db569477baf-2925646134122914701.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124086146.htm,25,16,1024
" Macbook Pro 14"" M1 Pro 16/512 Đẹp zin kèm sạc cáp",22690000,Quận Tân Bình,2025-04-29 01:56:22,Khác | 16 GB | 512 GB | SSD | ,1 tháng trước,https://cdn.chotot.com/MTR9m5UhpKDE61tLIFhXPPlt6zmD4zvCJVnipfiSLac/preset:listing/plain/47d1e408300df7365e095552591735b8-2922601088631533599.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/123562430.htm,26,16,512
 MacBook Pro M1 Pro 14inch Sliver 2021 16GB 512GB,26000000,Quận Gò Vấp,2025-04-29 01:56:30,Khác | 16 GB | 512 GB | SSD | ,4 tuần trước,https://cdn.chotot.com/ydpPX3u6wF9OJluPu_5XMDiYPxf9qH49br0c9kohkxE/preset:listing/plain/f015fd39182310ea873ec38e0d58d334-2925005352421354413.jpg,https://www.chotot.com/mua-ban-laptop-quan-go-vap-tp-ho-chi-minh/123979926.htm,28,16,512
" Macbook Pro 14"" M1 Pro 16/512 đẹp pin cao kèm sạc",27490000,Quận Tân Bình,2025-04-29 01:56:30,Khác | 16 GB | 512 GB | SSD | ,2 tháng trước,https://cdn.chotot.com/8iEjimO8KBa-NRuRZcd3gEdHIKhYhOprvVxTxpTy4-4/preset:listing/plain/eba374db1c75aadce3be2fd795aa0bd2-2922212440030758664.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/123496915.htm,28,16,512
" Macbook Pro 14"" M1 Pro 16/512 Gray",27490000,Quận Tân Bình,2025-04-29 01:56:38,Khác | 16 GB | 512 GB | SSD | ,2 tháng trước,https://cdn.chotot.com/g6cD_Szk4vpTGoUTxNtqub-RSxOMjeI5_twYHme2Bms/preset:listing/plain/5811c6e5bee065c2c507498a3db08051-2922064648122686289.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/123468701.htm,30,16,512
 Macbook Pro 14” 2021| M1 Pro| 32Gb| 512Gb| new 99,29000000,Quận Gò Vấp,2025-04-29 01:57:35,Khác | 32 GB | 512 GB | SSD | ,2 tháng trước,https://cdn.chotot.com/UYrbbvlMRQTpEIbsfzayqpjTBo_YtJWiZSAWWwBaPWw/preset:listing/plain/daad8589bf5c64f30c903145a2c3e858-2921485552671296458.jpg,https://www.chotot.com/mua-ban-laptop-quan-go-vap-tp-ho-chi-minh/123372534.htm,43,32,512
 Macbook Pro M1 14 2021 32/1T/10CPU/14GPU,33500000,Quận 6,2025-04-29 01:57:53,Khác | 32 GB | 1 TB | SSD | ,2 tháng trước,https://cdn.chotot.com/ko_Y4VVRXZYAqrgGv5b8kEmNgqOw6AeqQk9MXPfYQTg/preset:listing/plain/29274bca43aaf50bd35c3675c34c55fd-2921381188384989586.jpg,https://www.chotot.com/mua-ban-laptop-quan-6-tp-ho-chi-minh/123353759.htm,47,32,1024
